UID,x[kpc/h],y[kpc/h],z[kpc/h],x_pix,y_pix,i_sector,m500c[Msol/h],r500c[kpc/h],gas_frac,star_frac,T[kev],Lx[1e44erg/s],Y500c,M_sat/M_cD,cshift[kpc],vx[km/s],vy[km/s],vz[km/s]
0,416658.59,455771.69,72710.742,10666,4716,18,743820000000000.0,1346.37,0.128781,0.0269211,8.21176,25.9788,125.12435,0.146322,0.0,-484.186,114.829,-384.02
1,457001.0,220719.88,279137.47,11699,10733,32,472399000000000.0,1157.33,0.125627,0.0305893,6.49616,15.9667,82.994687,0.173823,0.0,-164.106,315.23400000000004,-225.146
2,546352.06,317522.0,322111.53,13986,8255,26,593236000000000.0,1248.6,0.133647,0.0295647,6.64855,32.3791,97.495154,0.12356400000000001,0.0,146.947,317.572,-158.66899999999998
3,178209.08,431001.19,432031.66,4562,5350,15,722031000000000.0,1333.15,0.126156,0.0266628,8.29691,24.3332,122.6156,0.372392,0.0,-112.361,-193.43,220.025
4,232882.92,440987.19,452662.31,5961,5094,16,655889000000000.0,1291.09,0.125098,0.0273832,7.06222,24.6993,100.23773,0.25173,0.0,117.801,64.2292,92.0462
5,54603.605,455695.72,636036.69,1397,4718,14,629781000000000.0,1273.74,0.126075,0.0289845,7.17903,16.9362,101.30696999999999,0.137928,0.0,-92.5633,-160.304,-22.3148
6,519774.97,318721.5,440078.53,13306,8224,26,463242000000000.0,1149.8,0.111018,0.0303694,5.74791,9.03807,64.473917,0.14795,0.0,32.5817,462.19599999999997,71.2611
7,370100.12,241020.95,476203.62,9474,10213,32,484118000000000.0,1166.82,0.12331,0.0290588,5.98302,11.8245,75.64458,0.202518,0.0,4.74288,231.051,-122.266
8,368718.16,353919.81,363611.91,9439,7323,25,314506000000000.0,1010.57,0.117575,0.0295452,4.55767,6.78569,47.58518,0.421513,0.0,380.555,352.124,-171.84799999999998
9,525069.75,467271.47,631946.19,13441,4421,12,405034000000000.0,1099.46,0.127564,0.0297711,5.2068900000000005,9.458269999999999,64.17354,0.0925378,0.0,-84.3869,-67.8861,173.13099999999997
10,591007.81,337809.91,139311.0,15129,7736,27,279901000000000.0,972.023,0.121076,0.0284518,4.65989,4.26869,48.194967999999996,0.135482,0.0,511.645,-3.9001099999999997,330.866
11,435582.12,534259.75,237104.41,11150,2706,11,401438000000000.0,1096.22,0.120603,0.0347255,5.5662,7.55017,64.66324399999999,0.07364739999999999,0.0,78.2769,218.834,177.588
12,602643.75,215003.8,8035.2646,15427,10879,34,461925000000000.0,1148.71,0.123563,0.0257146,6.17281,10.1734,76.990809,0.222279,0.0,223.065,-128.144,28.902
13,604369.81,354425.22,490764.81,15471,7310,27,504508000000000.0,1182.95,0.121028,0.028839,5.50176,8.800289999999999,69.22093199999999,0.178555,0.0,-285.018,-14.0229,-86.7864
14,616043.69,398295.38,306854.25,15770,6187,20,517553000000000.0,1193.09,0.120112,0.0277219,5.79139,13.6605,72.928335,0.05227999999999999,0.0,-169.804,-147.116,-86.6763
15,473272.56,264235.47,253650.66,12115,9619,33,367296000000000.0,1064.22,0.119724,0.0283355,5.31604,6.753939999999999,59.517359,0.097995,0.0,-159.626,-140.25799999999998,-195.31799999999998
16,621856.94,405196.72,289873.94,15919,6010,20,295638000000000.0,989.934,0.116679,0.0324277,4.63794,3.9391800000000003,47.074256,0.0911016,0.0,-444.827,-598.359,161.27200000000002
17,638827.06,127904.61,185279.06,16353,13109,41,276892000000000.0,968.563,0.119608,0.0294028,4.50411,4.25212,45.850188,0.645904,0.0,245.278,131.02700000000002,519.901
18,45914.047,481053.47,603897.5,1175,4069,7,389246000000000.0,1084.98,0.120764,0.0284572,5.693569999999999,7.787789999999999,65.55702,0.0698961,0.0,77.9699,-442.775,-145.998
19,252421.25,99977.383,505710.75,6461,13824,37,408402000000000.0,1102.52,0.129603,0.0269528,5.5199,9.14467,69.30769699999999,0.181152,0.0,-1.46402,278.111,-159.183
20,480179.47,190963.12,586913.12,12292,11495,33,225081000000000.0,903.922,0.123232,0.0273091,3.62885,2.82858,35.520973,0.668507,0.0,-19.8118,78.2389,250.27700000000002
21,362201.31,359797.09,635941.69,9272,7173,24,407160000000000.0,1101.38,0.123083,0.0292072,6.133719999999999,9.022110000000001,73.067895,0.0377881,0.0,485.718,340.64,-461.219
22,307728.72,59484.805,444292.84,7877,14861,45,295217000000000.0,989.441,0.132745,0.0280787,4.813619999999999,5.64824,55.560784999999996,0.104576,0.0,720.081,38.7451,-370.99800000000005
23,330302.94,335039.44,198823.48,8455,7806,24,304209000000000.0,999.402,0.114568,0.0333968,4.83539,5.91045,48.652421999999994,0.12441700000000001,0.0,-53.7514,-107.87799999999999,240.018
24,521113.62,635571.12,516396.69,13340,113,5,496563000000000.0,1176.73,0.120116,0.0251366,6.854189999999999,19.3989,85.13324,0.264762,0.0,98.6284,68.3622,-376.713
25,26902.906000000003,188906.0,174844.08,688,11548,28,346096000000000.0,1043.31,0.124127,0.0324513,4.42724,6.14029,50.383246,0.26205100000000003,0.0,-334.73900000000003,6.723339999999999,-309.32
26,219972.69,77282.383,498185.97,5631,14405,44,414162000000000.0,1107.68,0.119357,0.0301738,6.0478,10.0607,70.25873,0.0477468,0.0,500.399,293.176,-326.204
27,68290.125,463890.25,466309.84,1748,4508,7,196904000000000.0,864.499,0.114353,0.025403,3.52121,2.17604,30.590025,0.302247,0.0,-206.362,-75.2631,-18.2369
28,562105.0,139486.41,413831.47,14389,12813,41,260453000000000.0,948.983,0.105599,0.0331938,4.13322,3.0540599999999998,36.398126,0.453813,0.0,-314.416,-63.0777,68.3355
29,432544.41,610013.69,464737.59,11073,767,4,444573000000000.0,1134.15,0.122914,0.0264259,5.60551,8.79813,68.664666,0.200649,0.0,-61.83,-399.694,-32.3801
30,307820.53,358276.31,589664.88,7880,7212,24,331960000000000.0,1028.93,0.1109,0.0321258,4.95924,4.42777,49.725971,0.037467400000000005,0.0,618.394,-53.0198,139.015
31,545872.75,416280.0,553854.56,13974,5727,19,174204000000000.0,829.906,0.108031,0.036401,3.27283,1.7133900000000002,25.786178,0.18257400000000001,0.0,-56.9435,390.085,330.267
32,433730.78,552231.5,216159.69,11103,2246,4,375270000000000.0,1071.84,0.116725,0.0278441,5.14228,6.36707,56.535837,0.308125,0.0,282.29,-300.493,119.837
33,496223.5,555226.19,582897.94,12703,2170,5,355356000000000.0,1052.55,0.115906,0.0319978,5.7129900000000005,5.50132,61.244279000000006,0.143428,0.0,-138.029,-216.938,-156.523
34,45350.155999999995,635593.0,473318.38,1160,112,0,157772000000000.0,802.978,0.0999078,0.0349757,3.45143,1.2458799999999999,24.329658,0.061011699999999995,0.0,383.147,221.422,221.144
35,116863.38,440442.91,269794.91,2991,5108,15,336715000000000.0,1033.79,0.116747,0.0291133,5.01525,5.32169,53.193430000000006,0.0495011,0.0,-234.19099999999997,66.6057,165.845
36,604755.19,345761.62,459572.72,15481,7532,27,444647000000000.0,1134.19,0.121588,0.0278219,5.57055,11.252,67.506703,0.46643100000000004,0.0,275.265,94.9168,163.524
37,3936.4253,126623.83,200918.66,100,13142,35,253466000000000.0,940.43,0.114146,0.0339788,4.21157,3.16857,39.727297,0.14091800000000002,0.0,-70.7153,18.9066,5.856990000000001
38,67132.609,365118.03,395378.81,1718,7036,21,301425000000000.0,996.334,0.128189,0.0299805,4.58547,9.46441,51.466116,0.125797,0.0,-20.606,298.233,190.918
39,396181.97,524029.34,133414.19,10142,2968,11,357549000000000.0,1054.69,0.114541,0.0318995,5.3129800000000005,6.740889999999999,56.402538,0.10665799999999999,0.0,191.90400000000002,-339.559,-337.647
40,588225.56,96460.773,211118.3,15058,13914,41,327179000000000.0,1023.94,0.1127,0.0273871,5.27325,4.64226,53.475168000000004,0.11249300000000001,0.0,-48.8467,133.388,205.65
41,352757.47,355111.44,625032.19,9030,7293,24,293555000000000.0,987.604,0.123124,0.034581,4.66515,5.886830000000001,49.847941999999996,0.057791999999999996,0.0,282.599,107.931,440.341
42,506504.62,639098.06,19797.314,12966,23,5,381150000000000.0,1077.4,0.121658,0.0271271,5.00957,6.883369999999999,57.70333299999999,0.224931,0.0,-40.6043,374.473,325.731
43,608302.38,455125.34,375526.09,15572,4732,20,314878000000000.0,1010.95,0.107033,0.0325385,5.28682,4.03863,50.270168,0.0646894,0.0,271.173,-734.7539999999999,467.277
44,403850.47,497639.44,98949.039,10338,3644,11,199852000000000.0,868.814,0.0986702,0.0310021,3.9020699999999997,1.6539,29.393625,0.641528,0.0,-411.279,-795.834,125.542
45,456929.88,489679.53,596888.19,11697,3848,11,221126000000000.0,898.589,0.112732,0.0274683,3.58439,2.2897,31.907966,0.344886,0.0,207.378,692.02,-284.692
46,163241.64,427760.31,437205.16,4178,5433,15,220192000000000.0,897.326,0.108545,0.0339617,3.6820199999999996,2.67612,31.514837,0.159986,0.0,219.576,-176.894,-179.372
47,494988.75,289.61105,532567.81,12671,16376,47,272934000000000.0,963.888,0.12246,0.024054,4.2702,4.979509999999999,44.295902000000005,0.226381,0.0,438.094,-248.671,7.0729
48,629156.25,188747.12,383167.09,16106,11552,34,279864000000000.0,971.986,0.101025,0.0330978,4.81934,3.13053,41.587162,0.0593863,0.0,-81.1427,258.28,279.039
49,591446.12,56771.34,103116.13,15141,14930,48,333350000000000.0,1030.34,0.114462,0.0306687,4.67886,5.7782800000000005,48.491147,0.087873,0.0,-496.33099999999996,118.67299999999999,-240.298
50,574191.56,395194.03,112884.22,14699,6267,20,130165000000000.0,753.083,0.0951562,0.035689,2.9495400000000003,0.874766,18.574282,0.0979291,0.0,304.332,-186.118,57.972
51,502197.38,103168.77,419003.16,12856,13742,40,306795000000000.0,1002.22,0.1106,0.0290557,4.6695,4.66414,45.484711,0.0676527,0.0,109.649,-141.766,290.905
52,394816.25,13281.393,226449.52,10107,16043,46,141725000000000.0,774.759,0.112604,0.0287579,2.75241,1.2979399999999999,21.100707999999997,0.266032,0.0,551.988,-40.275,51.6179
53,86866.57,345635.38,546601.75,2223,7535,21,311216000000000.0,1007.03,0.103571,0.0367137,4.8238900000000005,4.37061,44.210844,0.0919615,0.0,-268.275,213.266,-93.8051
54,601360.62,534434.44,554429.62,15394,2702,13,346734000000000.0,1043.96,0.11401,0.0294958,4.6014800000000005,6.20256,48.126678000000005,0.16927,0.0,-79.9699,152.964,-100.354
55,148277.94,213147.14,362031.03,3795,10927,29,178971000000000.0,837.438,0.0969896,0.0291489,3.49859,1.7393599999999998,24.969656,0.132156,0.0,-373.495,288.025,-162.749
56,6099.8569,452137.47,405480.12,156,4809,14,285713000000000.0,978.74,0.124019,0.0299579,4.32446,5.55618,46.124432,0.18674200000000002,0.0,39.0526,-194.158,-159.297
57,74724.57,361764.22,266565.22,1912,7122,21,210033000000000.0,883.297,0.106271,0.031801,4.0197400000000005,3.23684,33.159116999999995,0.131682,0.0,280.13,-129.064,353.42699999999996
58,252383.33,265449.53,612602.38,6461,9588,30,293071000000000.0,987.047,0.113918,0.0288615,4.0769400000000005,4.1184199999999995,40.284568,0.295695,0.0,283.658,179.303,-118.868
59,425275.28,539355.44,302154.31,10887,2576,11,259422000000000.0,947.743,0.115067,0.0257683,3.88266,3.99579,37.206932,0.663039,0.0,-377.915,-159.597,-178.21599999999998
60,95133.42199999999,17090.848,58379.035,2435,15946,43,219719000000000.0,896.683,0.10523,0.0267545,4.46136,2.86498,36.992459000000004,0.43416000000000005,0.0,196.358,-176.263,-367.986
61,251064.3,542312.81,421684.31,6427,2500,9,236403000000000.0,918.827,0.114072,0.0325829,3.7288900000000003,6.29013,34.344831,0.139229,0.0,575.763,96.4387,35.8733
62,501595.03,17004.832,26833.641,12840,15948,47,324913000000000.0,1021.59,0.119845,0.0322914,4.68382,5.77078,50.391239,0.073539,0.0,-83.8098,-147.775,-390.11699999999996
63,29876.375,452959.06,44778.926,764,4788,14,229721000000000.0,910.095,0.113668,0.0279074,4.12826,3.7008400000000004,37.527306,0.169973,0.0,-529.317,-139.17,192.108
64,223306.36,180178.69,266180.31,5716,11771,37,168016000000000.0,819.958,0.111571,0.026595,3.18407,2.22663,25.598473000000002,0.455441,0.0,-82.4586,567.123,-0.309158
65,627713.0,100067.06,126358.67,16069,13822,41,132035000000000.0,756.683,0.119834,0.0314385,3.26092,1.7421799999999998,25.983337,0.12438099999999999,0.0,289.389,-84.1885,295.858
66,505195.75,628119.31,478389.78,12933,304,5,263701000000000.0,952.924,0.113332,0.0340137,4.224819999999999,17.2575,40.093337,0.060195000000000005,0.0,418.6,-46.7202,395.534
67,158308.02,550458.94,64940.609000000004,4052,2292,1,294557000000000.0,988.738,0.11596,0.024878,4.37867,4.81308,44.113932,0.316127,0.0,-150.475,-119.684,-33.2782
68,598263.38,317323.0,147450.39,15315,8260,27,295631000000000.0,989.906,0.121626,0.0261273,4.5319400000000005,6.91593,47.949842,0.170667,0.0,-46.1216,370.10400000000004,326.247
69,594813.88,478315.62,5318.9043,15227,4139,13,145489000000000.0,781.57,0.101744,0.021316,3.43632,1.36505,24.011105999999998,0.781971,0.0,-673.508,-3.9217199999999997,486.945
70,638181.12,308657.72,227329.81,16337,8482,27,206510000000000.0,878.335,0.11328,0.0327652,3.60736,2.67251,31.541224,0.0723178,0.0,136.96200000000002,230.72099999999998,89.3603
71,337371.38,489862.94,34497.437999999995,8636,3843,10,102912000000000.0,696.383,0.0923997,0.0353258,2.90655,0.754881,16.43359,0.098348,0.0,486.349,-1035.68,166.468
72,9040.4014,94782.07800000001,225824.72,231,13957,35,372676000000000.0,1069.37,0.113756,0.0238032,4.90528,8.67907,52.435869999999994,0.5418729999999999,0.0,-292.71,500.04,-355.24800000000005
73,464131.72,136754.73,142792.67,11881,12883,40,283122000000000.0,975.748,0.121149,0.0267447,4.37761,5.34516,45.474859,0.229861,0.0,-242.03,-277.189,-134.069
74,280431.91,116887.77,555151.88,7179,13391,38,165038000000000.0,815.097,0.108787,0.037398,3.70275,2.55885,28.852452000000003,0.032416,0.0,-59.4279,230.646,-571.654
75,251512.7,274170.16,304661.81,6438,9365,30,237634000000000.0,920.422,0.112242,0.0329896,4.24565,3.6676,38.543639,0.10913900000000001,0.0,-173.52200000000002,252.28900000000002,195.56400000000002
76,7549.9434,148653.06,565535.06,193,12578,35,280926000000000.0,973.23,0.114149,0.0290964,4.4850900000000005,6.22464,43.784234000000005,0.0969935,0.0,-429.19,189.13099999999997,-406.67199999999997
77,427971.25,229808.19,601434.75,10956,10500,32,168003000000000.0,819.948,0.112786,0.0325478,2.99125,3.57197,24.309105,0.127316,0.0,116.102,943.827,132.19
78,157234.36,399866.53,427207.22,4025,6147,15,315312000000000.0,1011.44,0.114022,0.0284702,5.0248800000000005,6.66668,50.920577,0.164732,0.0,-112.55799999999999,286.268,103.169
