Cell Size	Act Cube Size	Cube Size Set	Clusters	Mean - Vx	Mean - Vy	Mean - Vz	SD - Vx	SD - Vy	SD - Vz	r - Vx	r - Vy	r - Vz
2000	160000	160000	6080	-732.84	-716.56	-722.36	910.18	902.73	906.59	0.35	0.34	0.39
4000	160000	160000	6080	-237.39	-230.0	-231.02	415.98	416.93	405.25	0.58	0.57	0.63
5000	160000	160000	6080	-151.11	-147.72	-148.1	319.28	323.29	304.69	0.65	0.64	0.7
8000	160000	160000	6080	-59.75	-59.1	-59.81	218.81	222.97	189.5	0.75	0.72	0.8
10000	160000	160000	6080	-38.46	-39.35	-39.78	200.32	203.67	165.72	0.78	0.75	0.82
20000	160000	160000	6080	-7.31	-11.33	-13.33	206.26	204.76	173.63	0.78	0.77	0.81
2000	200000	200000	6080	-732.71	-716.1	-722.01	908.53	900.73	904.85	0.36	0.35	0.4
4000	200000	200000	6080	-237.26	-229.53	-230.67	412.04	412.19	402.19	0.59	0.58	0.64
5000	200000	200000	6080	-150.98	-147.25	-147.76	313.94	317.18	300.92	0.67	0.66	0.72
8000	200000	208000	6080	-59.6	-58.58	-59.44	209.38	212.18	182.97	0.77	0.75	0.81
10000	200000	200000	6080	-38.33	-38.87	-39.43	191.45	193.78	159.17	0.8	0.78	0.84
20000	200000	200000	6080	-7.18	-10.85	-12.99	197.54	195.02	168.01	0.8	0.79	0.82
2000	240000	240000	6080	-732.81	-715.83	-721.93	907.25	899.24	904.2	0.37	0.36	0.4
4000	240000	240000	6080	-237.35	-229.27	-230.59	408.79	408.49	400.77	0.61	0.6	0.65
5000	240000	240000	6080	-151.07	-146.98	-147.67	309.63	312.17	299.2	0.68	0.67	0.72
8000	240000	240000	6080	-59.72	-58.39	-59.38	204.03	206.3	181.21	0.79	0.77	0.82
10000	240000	240000	6080	-38.42	-38.6	-39.35	184.09	185.38	156.17	0.81	0.8	0.85
20000	240000	240000	6080	-7.28	-10.6	-12.93	190.15	186.69	165.31	0.82	0.82	0.83
2000	280000	280000	6080	-732.49	-715.83	-721.71	905.99	897.95	904.02	0.37	0.37	0.41
4000	280000	280000	6080	-237.03	-229.27	-230.36	406.15	405.68	400.26	0.62	0.61	0.65
5000	280000	280000	6080	-150.76	-146.98	-147.46	306.2	308.33	298.54	0.69	0.69	0.73
8000	280000	288000	6080	-59.25	-58.39	-59.24	197.87	199.19	179.75	0.8	0.79	0.82
10000	280000	280000	6080	-38.11	-38.6	-39.13	178.3	178.76	154.71	0.83	0.81	0.85
20000	280000	280000	6080	-6.97	-10.6	-12.71	184.41	180.23	163.51	0.83	0.83	0.83
2000	320000	320000	6080	-732.2	-715.66	-721.85	905.28	897.09	904.09	0.38	0.37	0.41
4000	320000	320000	6080	-236.74	-229.09	-230.51	404.26	403.64	400.15	0.62	0.62	0.65
5000	320000	320000	6080	-150.47	-146.8	-147.61	303.7	305.59	298.35	0.7	0.7	0.73
8000	320000	320000	6080	-59.11	-58.21	-59.3	194.81	195.65	179.24	0.81	0.8	0.82
10000	320000	320000	6080	-37.82	-38.42	-39.27	173.89	173.71	153.9	0.84	0.83	0.85
20000	320000	320000	6080	-6.69	-10.43	-12.85	179.86	175.18	162.54	0.84	0.84	0.83
