Cell Size	Act Cube Size	Cube Size Set	Clusters	Mean - Vx	Mean - Vy	Mean - Vz	SD - Vx	SD - Vy	SD - Vz	r - Vx	r - Vy	r - Vz
2000	160000	160000	6080	-732.8415438993061	-716.5595956518152	-722.3626204878605	910.1845787429215	902.7280956662859	906.5944843516946	0.3520103366992119	0.3430182024458605	0.3932572401262501
4000	160000	160000	6080	-237.3883017207053	-229.9973019276048	-231.0162496856192	415.9761272930156	416.9288902360964	405.2450958395168	0.5782627975157748	0.5668646149460974	0.6284138427298293
5000	160000	160000	6080	-151.1102887889204	-147.7159299289427	-148.1018021378965	319.2759386597875	323.2918939496159	304.6863083573908	0.650583728387064	0.6370938087902778	0.702740520397469
8000	160000	160000	6080	-59.75396523788374	-59.10241764954839	-59.80762161348076	218.8084527323274	222.9740960162752	189.4964830882927	0.7480235685051724	0.7249198676694141	0.7977136079766549
10000	160000	160000	6080	-38.45797808387583	-39.34568569295065	-39.7782245275661	200.3207429529998	203.6699125656701	165.7216096301582	0.7753701217482573	0.7521103032208277	0.8232695461739079
20000	160000	160000	6080	-7.310636614539844	-11.32776273279598	-13.32593243508954	206.2600296136772	204.7559855859899	173.6251854255495	0.7786437722082792	0.7661981100620308	0.8087279496339835
2000	200000	200000	6080	-732.711039252711	-716.0975269406059	-722.0120507442643	908.5312251333758	900.7325801817049	904.8483147885224	0.3618448481442941	0.3532862352759425	0.4000960267336055
4000	200000	200000	6080	-237.2571666884434	-229.5349146441332	-230.6674768356599	412.0371954390014	412.1879990994555	402.1879838832809	0.5946487367071355	0.5846083966503897	0.6399033890045603
5000	200000	200000	6080	-150.9798708942633	-147.246308813405	-147.755768004656	313.9402531596029	317.1846828030011	300.9224076631755	0.6691789173211162	0.6574056926280136	0.715544852695808
8000	200000	208000	6080	-59.59891492635658	-58.58219647841437	-59.43994114278857	209.3792661090562	212.1773756099089	182.9709113006546	0.7727906210372986	0.7545467432859969	0.8143443551952877
10000	200000	200000	6080	-38.32754307251533	-38.86936812588834	-39.42876667511322	191.4517522963094	193.7750086397168	159.1733098672643	0.7972094744726278	0.778295920228415	0.8383993614453047
20000	200000	200000	6080	-7.182054079284174	-10.85009136177794	-12.98953314304973	197.5357959322463	195.0218130588869	168.0112483262865	0.8007679492651215	0.7943886715945871	0.8223790712958957
2000	240000	240000	6080	-732.805427702587	-715.8348848805706	-721.9300802881243	907.2508504125162	899.2414476656236	904.1960115301641	0.368769501367952	0.3624211427336728	0.4036388110554205
4000	240000	240000	6080	-237.3489510404185	-229.2737173449619	-230.5872235523607	408.7881346230205	408.4860541913435	400.7689867012451	0.6064806323365051	0.5999132034308315	0.6458047899632062
5000	240000	240000	6080	-151.0737717724287	-146.9847234533065	-147.6736431917975	309.6276471673851	312.1719772823044	299.2032467250324	0.6826869056625733	0.6748154886289789	0.7219782014141195
8000	240000	240000	6080	-59.71657531499698	-58.38591221601066	-59.37598237213427	204.0306653749167	206.3035392060056	181.2056969564259	0.7855925495355803	0.7703383080356307	0.8192235494747154
10000	240000	240000	6080	-38.42474389148692	-38.60020966777825	-39.3458271290268	184.0923432940309	185.3798790287626	156.1707433035351	0.8140045334220851	0.7993016192956409	0.8453043681855935
20000	240000	240000	6080	-7.277346447193508	-10.59723498155109	-12.92529150303825	190.1530929276478	186.6875399182333	165.3075710016758	0.819841991185489	0.8152433317195718	0.8282953477627004
2000	280000	280000	6080	-732.4898815727969	-715.8316875969296	-721.7050298484057	905.9915757092592	897.9485015613592	904.0186908435822	0.3742893954281415	0.3693253803273032	0.4056154204252023
4000	280000	280000	6080	-237.0330312316159	-229.2697706447295	-230.3604001854346	406.1518574680217	405.6775680817365	400.2584361295004	0.6157863077126187	0.6113208893218959	0.6489176106847202
5000	280000	280000	6080	-150.7598207481736	-146.9806642149366	-147.4560306742643	306.2005477408347	308.3265197821742	298.5424885722164	0.6932084816905036	0.6877803083408944	0.7253017110976188
8000	280000	288000	6080	-59.25492288541789	-58.39074456945334	-59.24127052154736	197.8725467719749	199.1897967061246	179.7508536815614	0.799904662282839	0.7882392355079239	0.8233258775097702
10000	280000	280000	6080	-38.11136455888949	-38.59927794679876	-39.12571442077267	178.2959082297238	178.7582106484897	154.7070140484745	0.8266112843139851	0.814870625497495	0.84875640560929
20000	280000	280000	6080	-6.967211795758087	-10.6035162595177	-12.71259339875148	184.4076812592436	180.2320858644426	163.5103318077815	0.8335241265722794	0.8303920789301009	0.8324214965713516
2000	320000	320000	6080	-732.1966438308423	-715.6564316755735	-721.8528694514024	905.280953254087	897.0851224837094	904.0870183069067	0.3780235102988286	0.3744638573013188	0.4064847393203904
4000	320000	320000	6080	-236.7383636880997	-229.093656579928	-230.5093086883931	404.2606609956287	403.6437262860174	400.1496514912792	0.6222219152287174	0.6197595671753383	0.6502474959863829
5000	320000	320000	6080	-150.4657770271533	-146.8021733186108	-147.6061637812541	303.7027060094092	305.5941746706574	298.3473858045742	0.7005380446971442	0.6972222797125018	0.7267222382485583
8000	320000	320000	6080	-59.10775511390411	-58.20504706818174	-59.29655260892095	194.807973515071	195.6515232808082	179.2363432755765	0.8066488652584751	0.796965777295878	0.8246689742561439
10000	320000	320000	6080	-37.81790832889561	-38.42172685030723	-39.27349638038405	173.8861000774768	173.7081141861607	153.9026344568276	0.8357818719446222	0.8262191870760737	0.8505662850734028
20000	320000	320000	6080	-6.687036879319346	-10.43334594153852	-12.84872730336947	179.8564278902224	175.1841842201278	162.5435663460375	0.8445753080499008	0.8417455007396338	0.834758542859737
