Cell Size,Act Cube Size,Cube Size Set,Clusters,Mean - Vx,Mean - Vy,Mean - Vz,SD - Vx,SD - Vy,SD - Vz,r - Vx,r - Vy,r - Vz
2000,160000,160000,2473,-690.0561203390881,-684.1172769635316,-711.9207422131117,899.6841128870807,892.2302763217556,894.2488209306593,0.3498226954667537,0.339717642160068,0.390815323699627
4000,160000,160000,2473,-191.5978199298651,-199.7902680814047,-227.8746595842248,408.3758910666201,410.5718746813531,397.0316105777513,0.5688609258641687,0.562511608708822,0.6227614732226844
5000,160000,160000,2473,-107.8149597051473,-118.1447452651897,-142.7692027211839,309.5671323448464,315.6563138626063,300.751345913123,0.6473743090090404,0.6372652767607722,0.6951643184292352
8000,160000,160000,2473,-20.60489690010746,-33.31398436967583,-57.22157468121666,205.3072440262583,221.6756264458654,188.7315475904274,0.751985409898134,0.717598053724908,0.7845685530976562
10000,160000,160000,2473,0.3079514580538552,-13.62135023344087,-37.78234489469817,184.9399383542845,202.6683164668841,164.4482856027352,0.7803777872196461,0.7470318758384404,0.8130410010749298
20000,160000,160000,2473,33.18095919099512,14.30918770905458,-12.09835587289738,187.9277661156193,207.2720373394356,172.3461000286177,0.7859191863221714,0.760254643042556,0.8001148328974431
2000,200000,200000,1928,-681.4370958347748,-682.2627496305419,-706.0116754760536,892.2836831514867,890.6860645278931,893.5159088321017,0.357875128845915,0.3559538454172509,0.3983874909731209
4000,200000,200000,1928,-184.8816552956158,-197.0697404776687,-227.7552180886388,401.7959986208216,402.5322082062357,395.1050747681859,0.5909652329136281,0.5860546937298652,0.6237561082853106
5000,200000,200000,1928,-102.7024628548792,-115.9582144341655,-143.8512507580919,302.6855571948722,304.9636084444115,294.8582614154125,0.6686098403994883,0.6573831361065756,0.7028143984077849
8000,200000,208000,1825,-15.01704820138051,-25.86101811639031,-60.29804231937337,192.835813655632,207.3522812725568,183.2581325540845,0.7772573295987201,0.7469923479790057,0.7995402255118218
10000,200000,200000,1928,3.879741822182729,-7.700638074478773,-40.73480993496523,172.3452487716126,191.2811256285689,159.569567602274,0.8044599810639411,0.7673197617983323,0.8239246927708641
20000,200000,200000,1928,36.10692256838741,21.19528971574137,-15.77306413217631,175.3353369384526,196.7188427295927,165.1279915070605,0.8090468993383624,0.7786132644748632,0.8158287369396492
2000,240000,240000,1486,-656.902666821869,-677.1287641573516,-727.1736817384106,899.1499809166587,901.1434548063846,899.2462948336448,0.3810461156937474,0.3682124878155983,0.3965060941519665
4000,240000,240000,1486,-176.1630443525046,-188.2457135807031,-235.8313041097832,404.7435662795958,407.203697849589,392.6276654686701,0.609093177630802,0.602104259405739,0.6299615699415807
5000,240000,240000,1486,-96.41738122347468,-105.577902670149,-149.1141050714559,302.2399914614801,302.5655851361952,289.7608689083677,0.6808922336906178,0.6764612981089418,0.713794046347957
8000,240000,240000,1486,-11.84500485538623,-18.24266019490441,-64.5037469583561,184.1907815135802,200.814497755334,179.7888859343155,0.79639801046045,0.7644590522721699,0.8088831131637194
10000,240000,240000,1486,7.360975680929385,1.647750084064429,-42.73498911699334,162.2093661469375,179.8297403500757,155.2771788898786,0.8233226519587445,0.7964594817961572,0.8369601544979934
20000,240000,240000,1486,41.65175147204862,30.25456832314939,-17.18735883372005,167.6326278249665,188.7410049667643,163.636381791003,0.8204745923879299,0.8019606333463355,0.8247552332983323
2000,280000,280000,1085,-660.8277350156121,-682.6649506423905,-737.6591603108462,901.5428896004296,902.7400599705401,909.0578639917453,0.3806341747928116,0.3536081960768537,0.4070950380228051
4000,280000,280000,1085,-173.3469017590898,-190.6219836806951,-239.8106461942678,408.0124379905171,406.7513833054537,400.5349741391038,0.6085423099777729,0.6028710024499904,0.6357594529851958
5000,280000,280000,1085,-95.84258523240125,-104.4135413085338,-150.8637838274176,302.943431998575,303.9188956457114,293.9747302666598,0.6862761299353649,0.6784719839028076,0.724193671271307
8000,280000,288000,1023,-9.902317410845567,-11.20319817242073,-63.15117877010638,183.9597559612363,193.8759698284161,177.5077281653477,0.7984974464182548,0.7765664765659426,0.8207442798829828
10000,280000,280000,1085,11.18628725665694,8.583816197480397,-42.91324241396664,159.7374234252005,171.1954132157123,151.5424308739351,0.8313781587966399,0.8096364621174437,0.849797587826853
20000,280000,280000,1085,45.85023234433351,38.94021921252092,-17.45007140106529,167.2408633852142,177.2815268171735,161.478721110512,0.8282436781959398,0.8193611368832237,0.8374016838768884
2000,320000,320000,782,-672.4772609172867,-675.5977999253146,-714.5333390857687,925.5107960293263,915.8703273159275,909.4469881373346,0.3512738468140811,0.3551377673875734,0.4082103045921031
4000,320000,320000,782,-183.7101534264068,-187.5050997338586,-230.3167656023741,417.7471478583116,419.5945322283342,411.5362463956454,0.5887571115967424,0.6064007392283931,0.624734809458414
5000,320000,320000,782,-102.8555969795286,-103.8639045953487,-144.8866051783559,307.6092518355671,311.2825527037228,300.6955793183305,0.6752949209878949,0.6845991889165144,0.7167273318902152
8000,320000,320000,782,-12.58269300483285,-12.53955568335274,-60.36269487499175,186.0556902109447,192.5097174258673,172.5822786733676,0.7931373916398267,0.7921109818359172,0.8218134014485812
10000,320000,320000,782,8.536316902358056,8.211655450940322,-41.68174833035187,161.2505812069351,169.1611995366994,145.9727723760791,0.826862560070385,0.8244259545520184,0.8500460403185938
20000,320000,320000,782,41.56741308797541,38.0932903211329,-17.65806754869018,173.8005107632403,176.3220818658384,158.9130114598296,0.8147754549930808,0.8365913544206791,0.8319975448515922
