Cell Size	Act Cube Size	Cube Size Set	Clusters	Mean - Vx	Mean - Vy	Mean - Vz	SD - Vx	SD - Vy	SD - Vz	r - Vx	r - Vy	r - Vz
2000	160000	160000	2473	-690.06	-684.12	-711.92	899.68	892.23	894.25	0.35	0.34	0.39
4000	160000	160000	2473	-191.6	-199.79	-227.87	408.38	410.57	397.03	0.57	0.56	0.62
5000	160000	160000	2473	-107.81	-118.14	-142.77	309.57	315.66	300.75	0.65	0.64	0.7
8000	160000	160000	2473	-20.6	-33.31	-57.22	205.31	221.68	188.73	0.75	0.72	0.78
10000	160000	160000	2473	0.31	-13.62	-37.78	184.94	202.67	164.45	0.78	0.75	0.81
20000	160000	160000	2473	33.18	14.31	-12.1	187.93	207.27	172.35	0.79	0.76	0.8
2000	200000	200000	1928	-681.44	-682.26	-706.01	892.28	890.69	893.52	0.36	0.36	0.4
4000	200000	200000	1928	-184.88	-197.07	-227.76	401.8	402.53	395.11	0.59	0.59	0.62
5000	200000	200000	1928	-102.7	-115.96	-143.85	302.69	304.96	294.86	0.67	0.66	0.7
8000	200000	208000	1825	-15.02	-25.86	-60.3	192.84	207.35	183.26	0.78	0.75	0.8
10000	200000	200000	1928	3.88	-7.7	-40.73	172.35	191.28	159.57	0.8	0.77	0.82
20000	200000	200000	1928	36.11	21.2	-15.77	175.34	196.72	165.13	0.81	0.78	0.82
2000	240000	240000	1486	-656.9	-677.13	-727.17	899.15	901.14	899.25	0.38	0.37	0.4
4000	240000	240000	1486	-176.16	-188.25	-235.83	404.74	407.2	392.63	0.61	0.6	0.63
5000	240000	240000	1486	-96.42	-105.58	-149.11	302.24	302.57	289.76	0.68	0.68	0.71
8000	240000	240000	1486	-11.85	-18.24	-64.5	184.19	200.81	179.79	0.8	0.76	0.81
10000	240000	240000	1486	7.36	1.65	-42.73	162.21	179.83	155.28	0.82	0.8	0.84
20000	240000	240000	1486	41.65	30.25	-17.19	167.63	188.74	163.64	0.82	0.8	0.82
2000	280000	280000	1085	-660.83	-682.66	-737.66	901.54	902.74	909.06	0.38	0.35	0.41
4000	280000	280000	1085	-173.35	-190.62	-239.81	408.01	406.75	400.53	0.61	0.6	0.64
5000	280000	280000	1085	-95.84	-104.41	-150.86	302.94	303.92	293.97	0.69	0.68	0.72
8000	280000	288000	1023	-9.9	-11.2	-63.15	183.96	193.88	177.51	0.8	0.78	0.82
10000	280000	280000	1085	11.19	8.58	-42.91	159.74	171.2	151.54	0.83	0.81	0.85
20000	280000	280000	1085	45.85	38.94	-17.45	167.24	177.28	161.48	0.83	0.82	0.84
2000	320000	320000	782	-672.48	-675.6	-714.53	925.51	915.87	909.45	0.35	0.36	0.41
4000	320000	320000	782	-183.71	-187.51	-230.32	417.75	419.59	411.54	0.59	0.61	0.62
5000	320000	320000	782	-102.86	-103.86	-144.89	307.61	311.28	300.7	0.68	0.68	0.72
8000	320000	320000	782	-12.58	-12.54	-60.36	186.06	192.51	172.58	0.79	0.79	0.82
10000	320000	320000	782	8.54	8.21	-41.68	161.25	169.16	145.97	0.83	0.82	0.85
20000	320000	320000	782	41.57	38.09	-17.66	173.8	176.32	158.91	0.81	0.84	0.83
