#Table1
fiberID,ra,dec,z_noqso,z_noqso_err,passive_logmass,starforming_logmass,pca_logmass
42,29.044188,-1.0307389,0.5486345,0.0001591066,11.13,10.86,11.2685158587992
91,28.915581,-0.765515,0.5991486,0.000106546,11.26,10.61,10.9918209967
139,28.791181,-0.6407171,0.4822572,6.556421E-05,11.7,11.39,11.8457608976751
193,28.586543,-0.14974534,0.3544386,4.860213E-05,11.27,11.28,11.4831002046412
247,28.304456,-0.97051788,0.4176548,7.548632E-05,11.53,11.5,11.8882380280411
311,28.075944,-0.18343543,0.5315756,0.0002032435,11.29,11.32,11.5471807223512
371,27.620703,-1.0587316,0.592836,0.0002225762,11.13,10.86,11.3515657790704
413,27.458361,-0.97328534,0.3375034,4.720002E-05,11.22,11.18,11.507535993238
473,27.12089,-0.42589783,0.3541646,4.385759E-05,11.35,11.39,11.6369138400187
529,27.443845,0.6659476,0.5055972,9.08075E-05,11.16,10.92,11.4101283049094
583,27.464178,1.2311875,0.6210812,0.0002596309,11.21,11.44,11.4696329421713
633,27.592329,0.78990212,0.3618464,4.773068E-05,11.25,10.96,11.5726024467731
693,27.92288,0.22562165,0.487977,0.0001013626,11.13,10.92,11.5225084453268
743,28.190007,1.07259,0.5802791,0.0001092377,11.35,11.27,11.5924445316632
805,28.507321,0.58789792,0.5151135,0.0001865949,10.98,10.76,11.1953525177087
864,28.798552,1.0232405,0.2900382,7.533598E-05,9.72,8.76,8.97352051283815
933,28.919092,0.24765705,0.5080417,0.0002704868,11.26,10.99,11.561366532871
39,29.171771,-0.13739799,0.2160056,3.900301E-05,11.39,10.93,11.6155897097051
87,28.949311,-0.96161153,0.5421332,0.0001849152,11.03,11.17,11.2306115870015
135,28.854012,-0.73480623,0.541494,0.0001102878,11.16,11.22,11.148560529924
189,28.638368,-0.20706199,0.4826621,4.627548E-05,11.34,11.36,11.5327544681204
243,28.307738,-1.0817194,0.236044,2.330403E-05,11.28,10.95,11.5973913084163
305,28.07918,-0.48542819,0.5640614,0.0002035995,11.22,10.65,11.2571845569473
367,27.667933,-1.0812878,0.5235645,0.0001227768,11.12,10.56,11.5901267790759
411,27.523901,-0.98403607,0.5774801,7.93964E-05,11.23,10.83,11.2011092638131
469,27.265533,-0.65349116,0.5915918,6.544757E-05,11.31,10.75,11.2843296129431
581,27.393431,1.0483647,0.5183463,0.0001565855,11.23,10.71,11.4060274544463
631,27.717109,0.93501651,0.5731494,0.000161349,11.09,10.89,11.2799553296063
690,27.984698,0.50557314,0.1434044,6.913252E-06,10.4,9.93,10.26032307485
741,28.205291,1.025971,0.5764164,8.912892E-05,11.47,11.44,11.6666487006441
803,28.490863,0.36570044,0.4918697,0.0001092633,11.69,11.42,11.603119620966
857,28.723884,0.17166212,0.655535,0.0001497351,11.59,11.68,11.975648704858
929,29.005389,0.4420505,0.6419397,0.0001808684,11.69,11.57,11.8376529138623
37,29.189112,-0.29682542,0.5344324,0.0001649847,11.09,10.85,11.3795308809058
86,28.955074,-0.98474668,0.4937388,8.655222E-05,11.09,11.26,11.3712107747124
133,28.728525,-0.8064968,0.4829053,9.642199E-05,11.19,10.81,11.3586695183185
188,28.670581,-0.38929084,0.5328542,0.000102937,11.02,11.14,11.5041692169616
239,28.474759,-0.024142876,0.5310128,0.0001675601,11.38,11.39,11.5707145861816
300,28.121588,-0.83917903,0.1271042,3.921072E-05,9.32,8.6,9.36872945196228
365,27.570505,-1.1407978,0.5196959,0.0001300447,11.14,11.25,11.6066214262246
410,27.541019,-0.99087264,0.622722,0.0001780751,11.61,11.62,11.8908052254701
468,27.157716,-0.65302793,0.2570871,2.22282E-05,9.6,8.78,9.25199082281688
525,27.256892,0.66271918,0.6463767,4.789717E-05,11.35,10.22,10.3838696419261
579,27.432749,-0.06844443,0.5547943,8.883474E-05,11.39,10.92,11.712133991241
627,27.543455,1.1230011,0.51105,0.0001666657,11.04,10.62,11.1446526646032
689,27.976724,0.20182853,0.4885839,0.0001191991,11.53,11.63,11.8077913167654
740,28.203798,0.074710959,0.5039967,8.320544E-05,11.11,11.11,11.5266245542007
801,28.489106,0.44097952,0.4585154,9.705657E-05,11.19,11.18,11.3537399010966
856,28.721084,0.26384372,0.6680518,0.0001427037,11.32,11.16,11.8153351295623
927,28.986052,0.44723839,0.4904975,0.0001624983,10.96,10.7,11.2649116503308
32,29.205212,-0.23555286,0.2640696,0.0001309294,10.02,9.95,10.2710021827952
83,28.888173,-1.1110675,0.4650425,8.899577E-05,11.19,10.9,11.5077966193203
129,28.792691,-0.79973391,0.4391844,6.614043E-05,11.63,11.48,11.682128053144
185,28.510658,-0.57252988,0.6451598,9.418874E-05,11.45,11.44,11.9601490825298
233,28.460172,-0.24564411,0.4976499,9.170965E-05,11.19,11.22,11.4995182545681
293,28.132127,-1.0317874,0.5579243,0.0002077012,11.26,11.26,11.3640390165092
362,27.604178,-1.1690117,0.5191379,0.0002361958,11.31,11.05,11.3275115637662
405,27.449409,-1.1202062,0.4287005,8.093051E-05,11.2,11.18,11.5515961066121
464,27.290542,-0.75763709,0.5877256,0.0001936623,11.17,11.16,11.289516862249
518,26.917871,0.11103841,0.2026108,3.348155E-05,11.31,10.84,11.3660320701165
573,27.473971,0.39400221,0.6005796,0.0001932213,11.22,11.24,11.478701448068
622,27.745733,1.2219604,0.3807193,6.818817E-05,11.38,11.08,11.3910634100903
684,27.999577,0.30190814,0.2405015,1.349741E-05,10.53,9.69,10.4012292946136
737,28.250541,0.14657604,0.4960487,0.0001798908,11.27,11.26,11.384767794807
793,28.374415,0.86936708,0.50223,0.0001445263,11.23,11.17,11.4553826530755
853,28.688252,0.21088629,0.4666722,0.0002097437,10.96,11,11.0602013450698
922,29.073257,0.52982532,0.5185767,0.0001374105,11.01,10.89,11.1953989032772
46,29.101039,-0.76987295,0.6410176,0.0002248652,11.32,11.48,11.5022691490594
97,28.894948,-0.62940971,0.4384138,0.0001094382,11.07,11.06,11.2269100252306
142,28.701138,-0.55654451,0.7291762,0.0002958118,11.24,11.22,11.4597840942297
197,28.554148,-0.090513444,0.52917,0.00014077,10.96,10.82,11.5529224309139
252,28.205133,-1.0016869,0.05975957,8.416395E-06,11.17,10.86,11.2353867817437
321,27.911053,-1.2254863,0.4057281,0.0001088444,11.19,11.31,11.323419258013
377,27.74935,-0.90372829,0.6239828,0.0003168268,11.18,10.62,11.35199822305
417,27.511177,-0.90252664,0.6604836,6.362693E-05,11.63,10.69,11.3853143771412
477,27.187257,-0.2231801,0.5252827,0.000130853,11.3,11.1,11.6067206058942
533,27.106618,0.30414899,0.5857016,0.0001454885,11.34,11.18,11.4185250083247
587,27.576917,0.99171648,0.515363,0.0001532663,10.98,10.9,11.0806998277694
639,27.711321,0.71610435,0.4903541,0.0001745517,10.95,10.63,11.038253294173
699,28.040579,0.55313822,0.5741198,0.0001250147,11.43,11.4,11.6274882702855
752,28.277929,1.1137921,0.226164,7.479351E-05,10.22,9.95,10.4537391696576
813,28.483102,0.23417854,0.611793,0.000201434,11.53,10.97,11.8031555905472
868,28.758737,0.96871973,0.7413884,6.268312E-05,11.03,9.62,10.70481479296
939,29.044109,0.015094289,0.4660451,0.0001873429,10.94,10.78,11.4655776735744
31,29.257686,-0.27157255,0.5229972,0.0001687335,10.96,10.67,11.1396345443791
82,28.906926,-1.1461121,0.5982671,0.0001544848,11.14,11.09,11.2639906087425
127,28.857218,-0.80388002,0.4866671,9.413337E-05,11.08,11.17,11.3430337844766
183,28.637042,-0.56938536,0.483651,0.0001078011,11.25,11.34,11.5861785127199
231,28.448535,-0.25874927,0.4826539,0.0001893004,10.88,11.12,11.2989505272562
291,28.085535,-1.0599755,0.5601166,0.0002014447,11.09,11.21,11.3206111001055
361,27.605919,-1.1993634,0.5150025,0.0001377288,11.26,11.43,11.4109275404626
404,27.349514,-1.1746792,0.6705797,9.040867E-05,11.34,11.18,11.3932741540484
463,27.296859,-0.78002305,0.5912388,0.0002500038,11.49,11.4,11.3680336684338
517,26.823097,-0.092934463,0.3269383,6.13731E-05,11.24,11.17,11.6016365034448
571,27.433295,0.42017261,0.4829041,5.239366E-05,11.11,11.09,11.2918391923595
621,27.699999,1.0188502,0.4857218,9.805267E-05,11.9,11.84,11.9397903783247
683,27.953646,0.074342078,0.6002181,0.000147418,11.37,11.15,11.4234295302304
735,28.247143,0.17721012,0.5530859,0.0001319323,10.97,11.09,11.2831653962057
792,28.354404,0.7837399,0.1311335,7.140837E-05,9.29,8.79,9.17861457520121
851,28.735176,0.3758019,0.6123746,0.0001631071,11.41,11.67,11.7931807118293
921,29.067268,0.33650035,0.5980601,0.0001900999,11.14,10.7,11.2047055375297
21,29.043236,-0.64798846,0.5860845,0.0002905783,11.22,10.81,11.2282870098716
73,29.044344,-0.25005562,0.5057138,0.0001027554,11.12,10.79,11.2582398286322
117,28.920579,-0.044998607,0.4941481,0.0001042486,11.04,11.12,11.4471989570739
173,28.699611,-0.94793703,0.4962639,9.87742E-05,11.32,11.1,11.6672532388766
223,28.525675,-0.41524116,0.4419979,8.076053E-05,11.23,11.19,11.3843643431901
279,28.250148,-0.019547711,0.5757425,0.0002178829,11.19,10.9,11.2302902295487
351,27.925996,-0.47858809,0.4247148,6.10791E-05,11.26,10.93,11.4866859311587
398,27.735748,-0.10599914,0.3699757,4.535027E-05,11.15,11.1,11.6082595691987
451,27.326294,-1.0526599,0.6639661,0.0001774947,11.43,10.59,11.4997648304852
501,27.073647,1.1411379,0.5683245,0.0001084854,11.27,11.27,11.1061499413336
564,27.433947,0.50480021,0.4882455,0.0001049667,11.17,11.43,11.6617617368611
613,27.602994,0.060962524,0.5293912,0.0001182597,11.08,10.57,11.3286171882064
669,27.896866,0.83639379,0.7944318,5.256438E-05,11.7,11.2,11.3836383133894
727,28.133068,0.32636788,0.4315923,8.367238E-05,10.97,11,11.3503493205644
783,28.341203,1.1111349,0.5773767,0.0001376709,11.21,10.96,11.455646928749
839,29.000118,0.73693453,0.5613384,0.00025043,11.04,10.8,11.1758577618457
985,29.344808,0.44647002,0.7406021,0.0002756716,11.75,11.78,11.7912978239474
35,29.267721,-0.23657556,0.3651689,6.412721E-05,11.16,11.2,11.3303307077294
85,28.920297,-1.0383614,0.4456502,7.528219E-05,10.99,10.95,11.2657502925722
132,28.739538,-0.97242035,0.3193607,2.510711E-05,10.78,9.9,10.6916099347291
187,28.543256,-0.44226938,0.4158725,8.991831E-05,11.33,11.31,11.5606191402767
237,28.473663,-0.046379451,0.4982033,0.0001093017,11.33,11.07,11.6805573523452
299,28.064756,-0.75830651,0.6204803,0.0001755434,11.39,11.04,11.1728307983285
364,27.708223,-1.1466071,0.6399767,0.0002138615,11.26,11.04,11.2858365335851
409,27.530343,-1.0329525,0.7686905,0.0004457796,11.54,11.48,11.2627399697667
467,27.220702,-0.66299302,0.5825101,0.0002121935,11.23,11.39,11.4044640776847
523,27.169846,0.66739436,0.4529751,0.0001295821,11.19,11.2,11.3725715197797
576,27.528148,0.35856676,0.4884884,9.227547E-05,11.47,11.45,11.6899470731296
625,27.652545,1.2382667,0.3781238,5.5537E-05,11.38,11.39,11.5372166377492
687,27.957893,0.33799883,0.4836806,0.0001399784,11.32,11.05,11.4832530939166
739,28.220861,0.087741893,0.4917454,0.0001280683,10.92,11.01,11.2643549969653
799,28.427315,0.74890684,0.2265293,3.351994E-05,11.09,10.75,11.3944063821109
855,28.639264,0.015981162,0.4899544,0.0001544853,11.02,10.97,11.2074875836261
925,28.919707,0.5137459,0.7069574,0.0002903699,11.53,11.12,11.3404330169433
9,29.317137,-0.22061343,0.3668547,7.108199E-05,11.35,11.04,11.276373094297
57,29.190442,-0.6406944,0.7478652,0.0001394807,11.58,11.03,11.6103054169071
109,28.871743,-0.41988006,0.6033871,0.0001936882,11.31,11.12,11.4156381170178
160,28.708151,-0.050061281,0.3591692,2.470008E-05,10.82,10.15,10.5430071954324
212,28.336654,-0.99310313,0.1356923,1.24374E-05,11.34,10.91,11.4594328456151
266,28.32106,-0.54887942,0.2409418,2.762868E-05,11.43,11.41,11.5175487346132
339,27.834737,-0.75577907,0.4242924,0.0001500074,11.42,11.55,11.2621674468974
389,27.652259,-0.37947983,0.5278605,0.0001633952,11.43,11.1,11.4511258616549
439,27.572477,-0.16002926,0.595669,0.000243588,11.3,11.29,11.5552268659812
489,27.111506,-0.45257548,0.5919831,0.0001437963,11.22,11.08,11.3812011238188
549,27.371927,1.0623137,0.5776529,0.0002250795,11.37,11.28,11.6087444814912
601,27.600508,0.60624384,0.4892531,0.0001295501,11.23,11.13,11.3559710923
657,27.755418,0.22075481,0.5228477,0.0001536995,10.97,11.05,11.4065456300741
715,28.102318,0.6727386,0.5529165,0.0001040259,11.8,11.63,11.7725201618741
771,28.369784,0.20436958,0.4349558,0.0001319442,11.28,11.16,11.4424981459015
827,28.435479,1.2442952,0.1650292,2.484296E-05,10.06,9.14,9.87798886591918
889,28.871625,0.38145015,0.5360362,0.0001025856,11.25,10.99,11.2507302492158
966,29.095608,0.64348263,0.3834457,0.0001136574,11.3,11.1,11.4524704328069
1,29.338172,-0.53465601,0.4210845,8.190697E-05,11.55,11.67,11.5011427194695
53,29.160684,-0.68899438,0.6147556,0.0001924212,11.24,11.34,11.4993687221431
104,28.947709,-0.51745543,0.4381991,0.0001275255,10.98,11.05,11.1470919904532
149,28.716462,-0.30771686,0.6089883,0.0001658705,11.18,11,11.4802291820815
203,28.399006,-1.1714901,0.2463952,1.981275E-05,10.99,10.32,11.0188417939935
262,28.38228,-0.57554841,0.3913605,5.339517E-05,10.65,10.26,10.7243602232193
331,27.864146,-0.93080822,0.4171373,7.674417E-05,11.56,11.57,11.5474971968797
384,27.736092,-0.71006721,0.5650143,0.0001453224,11.4,11.34,11.4660256818752
431,27.580433,-0.38487805,0.2695757,7.758908E-05,10.4,10.61,10.6754064180568
482,26.969344,-0.86993667,0.6529807,0.0001013607,11.48,11.05,11.4470631572185
543,27.24638,1.1766853,0.5208946,0.000245706,11,10.87,11.2505715617444
595,27.430411,0.7585223,0.3809585,4.458263E-05,11.34,11.33,11.6262718117796
649,27.834389,0.3507329,0.2751501,2.929924E-05,11.22,11.51,11.6484882016084
708,28.085811,1.144557,0.2958313,6.963214E-05,10.46,10.2,10.7723059235723
764,28.325959,0.29356604,0.4920664,0.0001547891,10.98,11.05,11.2197183933458
820,28.506287,0.05034666,0.4834867,0.0001391622,11.11,11.22,11.5879292627651
881,28.857018,0.55379098,0.5391404,1.941746E-05,11.05,10.96,11.171317469154
953,29.079649,0.94704836,0.5455778,0.0001711974,11.35,11.49,11.5590801035869
34,29.202115,-0.21256655,0.04591247,1.067323E-05,10.71,10.66,10.9609916921472
84,28.939186,-1.0515963,0.5410652,0.0001392519,11.14,10.93,11.314838292019
131,28.842636,-0.77677426,0.4840659,0.0001062383,10.98,11.01,11.2762467486318
186,28.555733,-0.50600827,0.4406718,0.0002027607,10.7,10.67,10.8885590803111
235,28.490745,-0.10345699,0.3582659,4.652604E-05,11.47,11.45,11.4933981060312
295,27.971157,-0.93971584,0.5804039,0.0001222861,11.18,11.2,11.319505452062
363,27.644522,-1.1831262,0.5915499,0.0001203335,11.39,11.41,11.6442882763804
407,27.459618,-1.0878327,0.5777517,0.0001403629,11.19,11.43,11.4157467569021
466,27.245586,-0.70620073,0.3590779,4.220513E-05,11.48,11.54,11.630091479281
519,26.947216,-0.086044706,0.5515218,0.0001679563,11.5,11.21,12.0139140078682
575,27.306409,0.11133008,0.470655,9.922725E-05,11.25,11.21,11.4651128802216
623,27.726546,1.0790105,0.2794542,3.513097E-05,11.04,11.11,11.3790508513048
685,27.884659,0.53289236,0.5241706,0.0002088365,11.1,11,11.4552117588755
738,28.249787,0.22269511,0.6253376,0.000123381,11.4,11.41,11.5617669326602
797,28.405212,0.70624269,0.5280195,0.0001659071,11.01,11.04,11.5544892392354
854,28.586778,0.19181443,0.4723858,0.0001591805,10.99,10.84,11.137721353618
923,28.932815,0.57528787,0.2551247,4.695782E-05,11.23,11.29,11.5558036614093
5,29.389431,-0.38719552,0.3811638,6.206206E-05,11.52,11.53,11.5155009582522
55,29.08274,-0.67001911,0.5498784,0.0001573127,10.98,10.96,11.1674732651591
106,28.939996,-0.46775428,0.5297521,0.0001144428,11.27,11.25,11.4241311454098
153,28.776884,-0.12330935,0.5643453,0.0001106552,11.2,10.97,11.4679263601429
210,28.394556,-0.96648961,0.2422661,2.336562E-05,11.52,11.52,11.8292601776338
264,28.278314,-0.62016343,0.3252763,5.130026E-05,11.21,10.87,11.3789492302894
335,27.798968,-0.83848085,0.4472787,7.669501E-05,11.04,11.12,11.3297493622813
387,27.592667,-0.63322837,0.7800349,0.0002525964,11.59,11.05,11.6436989684589
435,27.57199,-0.30473764,0.5700096,9.914395E-05,11.38,11.12,11.316283027234
485,26.639549,-0.1587024,0.5958845,0.0001730586,11.19,11.06,11.4277420678991
546,27.125099,1.0623204,0.04299213,1.01055E-05,8.67,7.45,8.17354929781595
