#Table1
fiberID,ra,dec,z_noqso,z_noqso_err,passive_logmass
1,29.338172,-0.53465601,0.4210845,8.190697E-05,11.55
2,29.216354,-0.53158797,0.55455,0.0002412996,11.02
5,29.389431,-0.38719552,0.3811638,6.206206E-05,11.52
7,29.338454,-0.36208469,0.4390604,0.0001080874,10.8
9,29.317137,-0.22061343,0.3668547,7.108199E-05,11.35
11,29.358847,-0.21344269,0.5210965,0.0001703535,10.98
13,29.399323,-0.23700839,0.5168557,0.0001300712,11.59
15,29.473433,-0.18651589,0.5234872,0.0002640549,11.1
16,29.429281,-0.179452,0.0776643,2.098841E-05,9.95
17,29.335975,-0.15485893,0.4912895,9.183802E-05,11.32
19,29.324436,-0.10641737,0.5268155,0.000139293,11.16
21,29.043236,-0.64798846,0.5860845,0.0002905783,11.22
23,29.247683,-0.58574788,0.5530633,0.0001283026,11.28
25,29.24569,-0.4730748,0.524404,0.0001496448,11.19
27,29.22391,-0.4039316,0.4304288,0.0001050932,10.79
28,29.245161,-0.3344558,0.4301046,2.048993E-05,10.92
29,29.203652,-0.40710366,0.6060963,0.0001474146,11.47
31,29.257686,-0.27157255,0.5229972,0.0001687335,10.96
32,29.205212,-0.23555286,0.2640696,0.0001309294,10.02
34,29.202115,-0.21256655,0.04591247,1.067323E-05,10.71
35,29.267721,-0.23657556,0.3651689,6.412721E-05,11.16
37,29.189112,-0.29682542,0.5344324,0.0001649847,11.09
39,29.171771,-0.13739799,0.2160056,3.900301E-05,11.39
41,29.036656,-0.8666753,0.4915871,4.9479E-05,11.03
42,29.044188,-1.0307389,0.5486345,0.0001591066,11.13
43,29.104364,-0.91889334,0.2473876,3.614472E-05,11.25
45,29.061886,-0.76649449,0.6410718,0.0001764274,11.28
46,29.101039,-0.76987295,0.6410176,0.0002248652,11.32
47,29.120451,-0.69151494,0.5587744,0.0001858638,11.17
49,29.289898,-0.74559984,0.5013683,0.0001223995,10.93
50,29.265094,-0.65796567,0.5387539,0.0001539668,11.07
51,29.206288,-0.72370224,0.5519684,0.0001396694,11.18
53,29.160684,-0.68899438,0.6147556,0.0001924212,11.24
54,28.9852,-1.0203703,0.7432023,0.0002848355,11.34
55,29.08274,-0.67001911,0.5498784,0.0001573127,10.98
56,29.173963,-0.65922179,0.558575,0.0001355643,11.08
57,29.190442,-0.6406944,0.7478652,0.0001394807,11.58
59,29.15745,-0.60300644,0.5263828,4.004488E-05,11.12
62,29.055334,-0.53180028,0.4209899,6.208797E-05,10.78
65,29.072683,-0.50125205,0.5311603,0.0001053926,10.98
67,29.027278,-0.39716425,0.4127555,9.033189E-05,11.2
69,29.096357,-0.32538962,0.5355557,0.0001705598,11.06
71,29.089064,-0.30265749,0.3831082,6.321421E-05,11.32
73,29.044344,-0.25005562,0.5057138,0.0001027554,11.12
75,29.113047,-0.21447438,0.4690721,0.0001298336,11.31
76,29.04188,-0.21576633,0.3005275,2.34627E-05,10.64
77,29.137771,-0.17499779,0.04771163,8.176324E-06,11.18
79,29.097309,-0.13416499,0.4234513,0.0001007678,11.29
81,28.981234,-1.1202074,0.5019459,8.217471E-05,11.46
82,28.906926,-1.1461121,0.5982671,0.0001544848,11.14
83,28.888173,-1.1110675,0.4650425,8.899577E-05,11.19
84,28.939186,-1.0515963,0.5410652,0.0001392519,11.14
85,28.920297,-1.0383614,0.4456502,7.528219E-05,10.99
86,28.955074,-0.98474668,0.4937388,8.655222E-05,11.09
87,28.949311,-0.96161153,0.5421332,0.0001849152,11.03
89,28.97119,-0.82130638,0.4927355,8.752898E-05,11.57
91,28.915581,-0.765515,0.5991486,0.000106546,11.26
93,28.925762,-0.74067548,0.552208,0.0001201929,11.08
95,28.956026,-0.7274265,0.5533494,0.0001445653,11.27
97,28.894948,-0.62940971,0.4384138,0.0001094382,11.07
99,28.922671,-0.63066331,0.4894577,0.0001152328,11.42
101,28.907104,-0.60115747,0.488561,0.0001577799,11.06
102,28.868213,-0.57117441,0.4888386,0.0001417615,11.13
103,28.866719,-0.55107419,0.4897948,0.0001469094,11.15
104,28.947709,-0.51745543,0.4381991,0.0001275255,10.98
105,28.993252,-0.52494051,0.6407845,0.0001747077,11.32
106,28.939996,-0.46775428,0.5297521,0.0001144428,11.27
107,29.000775,-0.38033012,0.4486692,0.0001008293,11.24
109,28.871743,-0.41988006,0.6033871,0.0001936882,11.31
110,28.871795,-0.3970765,0.5363492,0.0001313657,11.28
112,28.884378,-0.27203159,0.4649146,7.089091E-05,11.32
113,28.925362,-0.26355446,0.381961,2.252031E-05,10.65
114,28.934015,-0.23835301,0.465695,0.0001183547,11.34
115,29.015887,-0.063127375,0.5657831,0.0001440322,11.12
116,29.038271,-0.17731391,0.2912994,3.476971E-05,10.41
117,28.920579,-0.044998607,0.4941481,0.0001042486,11.04
121,28.773974,-1.2481556,0.4975668,0.0001268955,11.18
122,28.858341,-1.142683,0.660395,4.978581E-05,11.54
123,28.848604,-1.0423981,0.5277386,0.0001482879,11.02
124,28.777105,-1.0517422,0.3205501,3.758293E-05,11.42
125,28.840974,-0.85039236,0.4837894,0.0001061453,11.52
127,28.857218,-0.80388002,0.4866671,9.413337E-05,11.08
129,28.792691,-0.79973391,0.4391844,6.614043E-05,11.63
131,28.842636,-0.77677426,0.4840659,0.0001062383,10.98
132,28.739538,-0.97242035,0.3193607,2.510711E-05,10.78
133,28.728525,-0.8064968,0.4829053,9.642199E-05,11.19
135,28.854012,-0.73480623,0.541494,0.0001102878,11.16
137,28.852068,-0.64850371,0.5531752,0.0001804184,11.13
139,28.791181,-0.6407171,0.4822572,6.556421E-05,11.7
140,28.824676,-0.66849929,0.352063,0.0001587478,10.2
141,28.789423,-0.50975728,0.5559444,0.0001266848,11.5
142,28.701138,-0.55654451,0.7291762,0.0002958118,11.24
143,28.736032,-0.43890925,0.4364743,6.232087E-05,11.59
145,28.726252,-0.48567536,0.5661432,0.0001322554,11.55
146,28.748795,-0.5228649,0.4126337,2.878562E-05,10.24
148,28.713413,-0.49728009,0.08898285,1.329969E-05,10.74
149,28.716462,-0.30771686,0.6089883,0.0001658705,11.18
152,28.803394,-0.12761772,0.568956,9.134509E-05,11.32
153,28.776884,-0.12330935,0.5643453,0.0001106552,11.2
155,28.774066,-0.08024275,0.4652254,0.0001323353,11.55
160,28.708151,-0.050061281,0.3591692,2.470008E-05,10.82
161,28.697257,-1.2368489,0.4985707,0.0001434934,10.95
165,28.536587,-1.0356988,0.4420273,8.420655E-05,11.19
169,28.597264,-0.95758958,0.4162545,0.0001120296,11.28
170,28.684971,-0.86248387,0.328982,7.241819E-05,10.62
171,28.651174,-0.93062252,0.5529275,0.000139019,11.04
172,28.571403,-0.83145806,0.04221449,9.91304E-06,8.49
173,28.699611,-0.94793703,0.4962639,9.87742E-05,11.32
175,28.508128,-0.87776071,0.0001006953,5.954051E-05,3.44
177,28.640176,-0.75581016,0.4970888,0.0001209733,11.1
179,28.699406,-0.68442591,0.4422726,0.0001143002,11
180,28.697972,-0.63663651,0.1621592,4.856339E-05,9.86
181,28.629585,-0.64972902,0.4343789,6.64353E-05,11.43
183,28.637042,-0.56938536,0.483651,0.0001078011,11.25
185,28.510658,-0.57252988,0.6451598,9.418874E-05,11.45
186,28.555733,-0.50600827,0.4406718,0.0002027607,10.7
187,28.543256,-0.44226938,0.4158725,8.991831E-05,11.33
